"","x"
"1","KRT6A"
"2","STAP1"
"3","DNASE1L3"
"4","FCER2"
"5","CR1L"
"6","SERPINB9"
"7","RAET1E"
"8","NOS2"
"9","CD1C"
"10","IL4"
"11","AGER"
"12","KLK5"
"13","KLK7"
"14","SPINK5"
"15","CPN2"
"16","IGLV1-51"
"17","CD19"
"18","IGLV3-25"
"19","FOXJ1"
"20","IGHV4-39"
"21","SUSD4"
"22","CCR7"
"23","C4B"
"24","CLU"
"25","CCR6"
"26","IGHE"
"27","IGHV1-45"
"28","IGHD"
"29","AICDA"
"30","CD40LG"
"31","GAPT"
"32","CD28"
"33","IL4R"
"34","KMT5B"
"35","PLA2G3"
"36","CD177"
"37","BLK"
"38","CLNK"
"39","FUT7"
"40","IL20RB"
"41","JAK3"
"42","GAB2"
"43","IGKV1D-17"
"44","IGLV8-61"
"45","APOA2"
"46","VPREB3"
"47","IGLV3-9"
"48","CHGA"
"49","INAVA"
"50","FCRL3"
"51","TRAV9-2"
"52","ITM2A"
"53","CARD11"
"54","IL33"
"55","TAC1"
"56","LGALS9B"
"57","SPTA1"
"58","MS4A1"
"59","CD24"
"60","TNFRSF13C"
"61","CD79A"
"62","TNFRSF13B"
"63","IL5RA"
"64","HHLA2"
"65","FLT3"
"66","TNFSF8"
"67","NFATC2"
"68","CCDC88B"
"69","RPS3"
"70","TMEM131L"
"71","SOS1"
"72","FOXN1"
"73","CCL21"
"74","MAP3K8"
"75","RHOH"
"76","TESPA1"
"77","TOX"
"78","CYP26B1"
"79","PAK1"
"80","LAT"
"81","ADORA2A"
"82","NFKBID"
"83","DCD"
"84","DEFB4A"
"85","PGLYRP3"
"86","PGLYRP4"
"87","RNASE7"
"88","S100A7"
"89","PI3"
"90","S100A8"
"91","SLPI"
"92","S100A9"
"93","PAX5"
"94","IL36RN"
"95","CXCL14"
"96","COLEC10"
"97","PGLYRP2"
"98","BLNK"
"99","MFAP4"
"100","H2BC6"
